old_url,source_sitemap,sitemap_lastmod,old_http_status,old_title,old_h1,current_route_state,existing_redirect,recommendation,recommended_target,reason,owner_check
https://odintsovclinic.ru/,sitemap.xml,2026-09-07T19:09:16+00:00,200,Клиника Одинцова - маммологический центр Санкт-Петербурга,Клиника Одинцова — маммологический центр санкт-петербурга,CURRENT_200,,KEEP_200,/,Тот же публичный маршрут существует в новом Astro-сайте.,"Перед cutover проверить финальный контент, canonical и 200."
https://odintsovclinic.ru/exams/programma-pitaniya,sitemap.xml,2026-09-07T19:09:16+00:00,200,Индивидуальная программа питания,Индивидуальная программа питания,REDIRECT_CONFIGURED,/nutrition,KEEP_REDIRECT,/nutrition,Новая страница нутрициологии обещает разбор рациона и персональный план питания.,
https://odintsovclinic.ru/napravleniya,sitemap.xml,2026-09-07T19:09:17+00:00,200,Направления деятельности клиники Одинцова в Санкт-Петербурге,Наши направления,REDIRECT_CONFIGURED,/,KEEP_REDIRECT,/,Главная нового сайта содержит навигацию по пяти основным направлениям.,
https://odintsovclinic.ru/mammology,sitemap.xml,2026-09-07T19:09:17+00:00,200,"Маммолог в Санкт-Петербурге: цены, записаться на платный прием и консультацию",Маммология,CURRENT_200,,KEEP_200,/mammology,Тот же публичный маршрут существует в новом Astro-сайте.,"Перед cutover проверить финальный контент, canonical и 200."
https://odintsovclinic.ru/endocrinology,sitemap.xml,2026-09-07T19:09:17+00:00,200,Эндокринология в Санкт-Петербурге: цены на консультацию эндокринолога в клинике Одинцова,Эндокринология,CURRENT_200,,KEEP_200,/endocrinology,Тот же публичный маршрут существует в новом Astro-сайте.,"Перед cutover проверить финальный контент, canonical и 200."
https://odintsovclinic.ru/gynecology,sitemap.xml,2026-09-07T19:09:17+00:00,200,"Консультация врача гинеколога в Санкт-Петербурге: цены, запись на прием и консультацию",Гинекология,CURRENT_200,,KEEP_200,/gynecology,Тот же публичный маршрут существует в новом Astro-сайте.,"Перед cutover проверить финальный контент, canonical и 200."
https://odintsovclinic.ru/procedures,sitemap.xml,2026-09-07T19:09:17+00:00,200,Лечебные процедуры,Лечебные процедуры,REDIRECT_CONFIGURED,/prices,OWNER_DECISION,/prices/full,"Старая страница описывала инъекции и капельницы. В полном прайсе есть АА1–АА4, но озонированного раствора нет.",Подтвердить доступность инъекций/капельниц. Если доступны — вести на точный раздел или восстановить страницу; если нет — 410.
https://odintsovclinic.ru/usd,sitemap.xml,2026-09-07T19:09:17+00:00,200,Ультразвуковая диагностика (УЗИ) в Санкт-Петербурге по доступной цене,Ультразвуковая диагностика,REDIRECT_CONFIGURED,/prices/full#ultrasound,KEEP_REDIRECT,/prices/full#ultrasound,Старый общий раздел УЗИ направлен в существующий раздел ультразвуковой диагностики полного прайса вместо маммологии.,Отдельный хаб УЗИ возможен после подтверждения состава услуг; текущий переход использует опубликованный прайс и не подтверждает доступность каждой позиции.
https://odintsovclinic.ru/urology,sitemap.xml,2026-09-07T19:09:17+00:00,200,Урология в Санкт-Петербурге: цены на консультацию уролога в клинике Одинцова,Урология,MISSING,,OWNER_DECISION,,Нет нового направления и профиля уролога; в полном прайсе остались отдельные УЗИ мочеполовой системы.,"Подтвердить, ведётся ли урологический приём. Если да — восстановить направление и врача; если нет — 410 и убрать несогласованные позиции/упоминания."
https://odintsovclinic.ru/neurology,sitemap.xml,2026-09-07T19:09:17+00:00,200,Невролог в Санкт-Петербурге: цены на консультацию невролога в Клинике Одинцова,,MISSING,,OWNER_DECISION,,Нет нового направления и профиля невролога; в полном прайсе при этом остались НН1–НН3.,Подтвердить врача и фактическую запись. Если направление закрыто — 410 и сверить прайс; если действует — восстановить страницу до переноса.
https://odintsovclinic.ru/lab,sitemap.xml,2026-09-07T19:09:17+00:00,200,Лабораторная диагностика и исследования в Санкт-Петербурге | Клиника Одинцова,Лабораторная диагностика,REDIRECT_CONFIGURED,/prices,OWNER_DECISION,/prices/full#laboratory,Старый раздел обещал широкую лабораторную диагностику; новый прайс подтверждает только гистологию/ИГХ и часть взятия материала.,Подтвердить текущий договор и перечень анализов. Не считать узкий раздел полным эквивалентом без проверки.
https://odintsovclinic.ru/doctors,sitemap.xml,2026-09-07T19:09:17+00:00,200,Ваши Доктора - записаться на прием и консультацию в клинике Одинцова,Доктора клиники одинцова,CURRENT_200,,KEEP_200,/doctors,Тот же публичный маршрут существует в новом Astro-сайте.,"Перед cutover проверить финальный контент, canonical и 200."
https://odintsovclinic.ru/doctors/odintsov,sitemap.xml,2026-09-07T19:09:18+00:00,200,Одинцов Владислав Александрович - запись на прием в клинику Одинцова,одинцов / владислав александрович,CURRENT_200,,KEEP_200,/doctors/odintsov,Тот же публичный маршрут существует в новом Astro-сайте.,"Перед cutover проверить финальный контент, canonical и 200."
